dataset,metric,lambda,local_lambda,tuning,model,error_rate,global,local,count
german,treatment_equality,0.5,0,False,FaX,22.2001,15.4721,18.9587,5
credit_card_clients,treatment_equality,0.5,0,False,Reweighing,19.1088,0.8894,2.5667,5
credit_card_clients,treatment_equality,0.5,0,False,LFR,22.1422,0.0,0.0,5
credit_card_clients,treatment_equality,0.5,0,False,DisparateImpactRemover,19.1955,1.9364,3.4092,5
credit_card_clients,treatment_equality,0.5,0,False,Fair-SMOTE,22.0355,20.6311,20.5706,5
credit_card_clients,treatment_equality,0.5,0,False,LTDD,19.1178,1.6552,2.8827,5
credit_card_clients,treatment_equality,0.5,0,False,PrejudiceRemover,19.109,3.2247,3.3014,5
credit_card_clients,treatment_equality,0.5,0,False,FairnessConstraintModel,19.9178,2.3477,2.8784,5
credit_card_clients,treatment_equality,0.5,0,False,GerryFairClassifier,20.2622,2.3104,1.2318,5
credit_card_clients,treatment_equality,0.5,0,False,AdversarialDebiasing,18.3511,4.7589,7.0645,5
credit_card_clients,treatment_equality,0.5,0,False,ExponentiatedGradientReduction,19.1289,1.4124,1.8795,5
credit_card_clients,treatment_equality,0.5,0,False,GridSearchReduction,19.3622,1.1955,1.8998,5
credit_card_clients,treatment_equality,0.5,0,False,MetaFairClassifier,19.2023,5.4194,7.7605,5
credit_card_clients,treatment_equality,0.5,0,False,FAGTB,18.54,2.6429,7.2473,5
credit_card_clients,treatment_equality,0.5,0,False,GradualCompatibility,39.9422,0.7312,4.4722,5
credit_card_clients,treatment_equality,0.5,0,False,RejectOptionClassification,20.1089,3.3231,6.2587,5
credit_card_clients,treatment_equality,0.5,0,False,EqOddsPostprocessing,19.6422,2.6043,5.4714,5
credit_card_clients,treatment_equality,0.5,0,False,CalibratedEqOddsPostprocessing,20.2244,10.9524,7.1502,5
credit_card_clients,treatment_equality,0.5,0,False,JiangNachum,19.1088,4.1469,2.9942,5
credit_card_clients,treatment_equality,0.5,0,False,FaX,19.0445,1.4403,2.0156,5
adult_data_set,treatment_equality,0.5,0,False,Reweighing,21.6782,31.081,12.6603,5
adult_data_set,treatment_equality,0.5,0,False,LFR,24.8723,0.0,0.0,5
adult_data_set,treatment_equality,0.5,0,False,DisparateImpactRemover,21.597,19.4853,11.9608,5
adult_data_set,treatment_equality,0.5,0,False,Fair-SMOTE,28.8656,17.8866,14.1181,5
adult_data_set,treatment_equality,0.5,0,False,LTDD,22.3904,38.2633,19.2222,5
adult_data_set,treatment_equality,0.5,0,False,PrejudiceRemover,20.0217,33.1665,26.7635,5
adult_data_set,treatment_equality,0.5,0,False,GerryFairClassifier,54.6353,0.8693,0.5026,5
adult_data_set,treatment_equality,0.5,0,False,AdversarialDebiasing,20.5761,21.9405,9.565,5
adult_data_set,treatment_equality,0.5,0,False,ExponentiatedGradientReduction,23.0102,39.1815,11.7565,5
adult_data_set,treatment_equality,0.5,0,False,GridSearchReduction,22.499,36.0528,10.4931,5
adult_data_set,treatment_equality,0.5,0,False,MetaFairClassifier,27.587,8.5581,18.9574,5
adult_data_set,treatment_equality,0.5,0,False,FAGTB,22.9002,29.0383,21.9135,5
adult_data_set,treatment_equality,0.5,0,False,GradualCompatibility,22.8335,25.2015,7.8839,5
adult_data_set,treatment_equality,0.5,0,False,EqOddsPostprocessing,24.4625,6.1304,8.5541,5
adult_data_set,treatment_equality,0.5,0,False,CalibratedEqOddsPostprocessing,19.9999,33.818,26.6442,5
adult_data_set,treatment_equality,0.5,0,False,JiangNachum,19.9233,30.1428,24.7095,5
adult_data_set,treatment_equality,0.5,0,False,FaX,21.7751,21.8788,10.1427,5
acs2017_census,treatment_equality,0.5,0,False,Reweighing,10.3025,30.8724,15.839,5
acs2017_census,treatment_equality,0.5,0,False,LFR,40.5455,0.0,0.0,5
acs2017_census,treatment_equality,0.5,0,False,DisparateImpactRemover,10.6601,40.3463,23.2278,5
acs2017_census,treatment_equality,0.5,0,False,Fair-SMOTE,10.8655,27.2319,15.2756,5
acs2017_census,treatment_equality,0.5,0,False,LTDD,13.4809,78.7652,55.1394,5
acs2017_census,treatment_equality,0.5,0,False,PrejudiceRemover,9.9761,5.1623,9.7143,5
acs2017_census,treatment_equality,0.5,0,False,GerryFairClassifier,11.0717,6.6393,8.0838,5
acs2017_census,treatment_equality,0.5,0,False,AdversarialDebiasing,9.7451,20.8767,13.6033,5
acs2017_census,treatment_equality,0.5,0,False,ExponentiatedGradientReduction,18.6222,50.0025,32.3197,5
acs2017_census,treatment_equality,0.5,0,False,GridSearchReduction,15.8801,49.197,30.8239,5
acs2017_census,treatment_equality,0.5,0,False,MetaFairClassifier,25.7344,1.4933,3.4848,5
acs2017_census,treatment_equality,0.5,0,False,FAGTB,59.4545,0.0,0.0,5
acs2017_census,treatment_equality,0.5,0,False,GradualCompatibility,10.5876,11.6926,4.9181,5
acs2017_census,treatment_equality,0.5,0,False,EqOddsPostprocessing,12.7081,22.1755,40.4103,5
acs2017_census,treatment_equality,0.5,0,False,CalibratedEqOddsPostprocessing,11.0745,18.41,26.4515,5
acs2017_census,treatment_equality,0.5,0,False,JiangNachum,10.0339,3.6609,8.5617,5
acs2017_census,treatment_equality,0.5,0,False,FaX,10.056,14.6909,7.5315,5
communities,equalized_odds,0.5,0,False,Reweighing,18.0635,4.6466,17.0609,5
communities,equalized_odds,0.5,0,False,LFR,39.2654,1.2671,0.3972,5
communities,equalized_odds,0.5,0,False,DisparateImpactRemover,20.3672,5.124,19.4197,5
communities,equalized_odds,0.5,0,False,Fair-SMOTE,18.9983,4.104,15.2891,5
communities,equalized_odds,0.5,0,False,LTDD,22.237,16.0123,31.2877,5
communities,equalized_odds,0.5,0,False,PrejudiceRemover,14.7914,26.7317,27.7112,5
communities,equalized_odds,0.5,0,False,FairnessConstraintModel,26.0767,11.9031,20.7686,5
communities,equalized_odds,0.5,0,False,DisparateMistreatmentModel,17.3622,11.1881,16.4861,5
communities,equalized_odds,0.5,0,False,GerryFairClassifier,46.2437,5.8539,3.9024,5
communities,equalized_odds,0.5,0,False,AdversarialDebiasing,15.5926,24.2691,27.5967,5
communities,equalized_odds,0.5,0,False,ExponentiatedGradientReduction,17.8966,5.1336,13.2339,5
communities,equalized_odds,0.5,0,False,GridSearchReduction,16.3607,15.7082,17.3507,5
communities,equalized_odds,0.5,0,False,MetaFairClassifier,29.5159,16.0896,18.2737,5
communities,equalized_odds,0.5,0,False,FAGTB,20.4007,9.0997,14.1317,5
communities,equalized_odds,0.5,0,False,FairGeneralizedLinearModel,15.8932,19.4661,24.6299,5
communities,equalized_odds,0.5,0,False,GradualCompatibility,15.2588,20.0144,23.7549,5
communities,equalized_odds,0.5,0,False,RejectOptionClassification,42.3373,6.1816,4.1351,5
communities,equalized_odds,0.5,0,False,EqOddsPostprocessing,28.5142,5.4581,18.0036,5
communities,equalized_odds,0.5,0,False,CalibratedEqOddsPostprocessing,18.1637,46.5076,43.1526,5
communities,equalized_odds,0.5,0,False,JiangNachum,20.7679,4.3007,8.6885,5
communities,equalized_odds,0.5,0,False,FaX,16.1937,14.727,17.5238,5
compas,equalized_odds,0.5,0,False,Reweighing,32.4515,6.2165,5.6935,5
compas,equalized_odds,0.5,0,False,LFR,44.6438,1.3837,1.8749,5
compas,equalized_odds,0.5,0,False,DisparateImpactRemover,32.6135,18.6777,11.4939,5
compas,equalized_odds,0.5,0,False,Fair-SMOTE,33.499,5.6179,6.1208,5
compas,equalized_odds,0.5,0,False,LTDD,32.8079,2.8803,6.9123,5
compas,equalized_odds,0.5,0,False,PrejudiceRemover,32.0411,20.6592,13.227,5
compas,equalized_odds,0.5,0,False,FairnessConstraintModel,50.8748,6.7018,11.1476,5
compas,equalized_odds,0.5,0,False,DisparateMistreatmentModel,36.35,14.7829,6.2082,5
compas,equalized_odds,0.5,0,False,GerryFairClassifier,54.2223,0.0,0.0,5
compas,equalized_odds,0.5,0,False,AdversarialDebiasing,32.1275,8.0075,12.9615,5
compas,equalized_odds,0.5,0,False,ExponentiatedGradientReduction,44.6329,3.0665,4.5609,5
compas,equalized_odds,0.5,0,False,GridSearchReduction,37.9483,14.3082,9.5292,5
compas,equalized_odds,0.5,0,False,MetaFairClassifier,33.3694,26.7222,20.313,5
compas,equalized_odds,0.5,0,False,FAGTB,34.3197,5.1198,8.6743,5
compas,equalized_odds,0.5,0,False,FairGeneralizedLinearModel,32.4515,21.5305,13.8952,5
compas,equalized_odds,0.5,0,False,GradualCompatibility,34.9567,19.6922,13.6319,5
compas,equalized_odds,0.5,0,False,RejectOptionClassification,42.9697,5.0062,1.1866,5
compas,equalized_odds,0.5,0,False,EqOddsPostprocessing,36.717,2.7334,8.6304,5
compas,equalized_odds,0.5,0,False,CalibratedEqOddsPostprocessing,33.4019,28.4895,21.5335,5
compas,equalized_odds,0.5,0,False,JiangNachum,34.2332,1.9965,9.0542,5
compas,equalized_odds,0.5,0,False,FaX,32.4083,21.5484,13.8409,5
german,equalized_odds,0.5,0,False,Reweighing,22.1333,9.3156,10.9045,5
german,equalized_odds,0.5,0,False,LFR,22.1333,0.0,0.0,5
german,equalized_odds,0.5,0,False,DisparateImpactRemover,22.0666,10.0402,11.9146,5
german,equalized_odds,0.5,0,False,Fair-SMOTE,31.0001,8.9726,17.9135,5
german,equalized_odds,0.5,0,False,LTDD,22.4,10.3792,12.5785,5
german,equalized_odds,0.5,0,False,PrejudiceRemover,21.5334,8.1879,11.0803,5
german,equalized_odds,0.5,0,False,FairnessConstraintModel,22.2,11.0893,13.5725,5
german,equalized_odds,0.5,0,False,DisparateMistreatmentModel,22.1333,4.6732,9.8944,5
german,equalized_odds,0.5,0,False,GerryFairClassifier,22.1333,6.0929,6.4361,5
german,equalized_odds,0.5,0,False,AdversarialDebiasing,22.0667,12.9259,13.604,5
german,equalized_odds,0.5,0,False,ExponentiatedGradientReduction,21.8,4.8488,11.1149,5
german,equalized_odds,0.5,0,False,GridSearchReduction,21.9334,5.5589,9.907,5
german,equalized_odds,0.5,0,False,MetaFairClassifier,22.2666,7.5335,13.4616,5
german,equalized_odds,0.5,0,False,FAGTB,24.2668,6.4691,14.4544,5
german,equalized_odds,0.5,0,False,FairGeneralizedLinearModel,22.0,5.6526,9.9229,5
german,equalized_odds,0.5,0,False,GradualCompatibility,22.0667,5.4026,9.6468,5
german,equalized_odds,0.5,0,False,RejectOptionClassification,34.8,10.5573,19.8743,5
german,equalized_odds,0.5,0,False,EqOddsPostprocessing,24.6667,10.7875,14.4294,5
german,equalized_odds,0.5,0,False,CalibratedEqOddsPostprocessing,22.0667,12.7198,15.0455,5
german,equalized_odds,0.5,0,False,JiangNachum,21.8667,6.5065,10.2265,5
german,equalized_odds,0.5,0,False,FaX,22.2001,8.7011,11.0954,5
credit_card_clients,equalized_odds,0.5,0,False,Reweighing,19.1088,1.7924,2.3507,5
credit_card_clients,equalized_odds,0.5,0,False,LFR,22.1422,0.0,0.0,5
credit_card_clients,equalized_odds,0.5,0,False,DisparateImpactRemover,19.1955,1.8062,2.5053,5
credit_card_clients,equalized_odds,0.5,0,False,Fair-SMOTE,22.0955,7.9461,11.1831,5
credit_card_clients,equalized_odds,0.5,0,False,LTDD,19.1178,2.133,2.6571,5
credit_card_clients,equalized_odds,0.5,0,False,PrejudiceRemover,19.109,1.8989,3.1258,5
credit_card_clients,equalized_odds,0.5,0,False,FairnessConstraintModel,19.9178,2.0883,2.2771,5
credit_card_clients,equalized_odds,0.5,0,False,GerryFairClassifier,20.2622,1.8101,1.2063,5
credit_card_clients,equalized_odds,0.5,0,False,AdversarialDebiasing,18.2799,2.9649,5.4246,5
